user_id,product_id,rating
118,31,4.5
64,16,2.5
91,35,3.4
266,46,4.0
2,41,3.1
231,36,2.9
35,27,2.5
413,6,2.1
186,17,4.3
169,48,3.8
460,10,2.6
398,19,3.8
449,38,4.0
401,44,2.8
363,12,2.7
207,26,2.7
166,12,1.4
372,40,2.0
309,48,4.6
376,42,3.3
204,37,4.4
391,48,4.3
153,39,3.4
315,24,2.2
91,36,3.2
386,38,3.6
165,7,3.6
433,7,5.0
25,12,3.4
402,22,2.9
472,5,2.6
235,16,2.6
152,12,3.9
148,3,3.2
490,10,2.4
39,34,3.2
357,30,3.4
186,14,1.6
467,13,2.0
258,39,4.0
464,27,2.9
399,10,4.3
127,18,3.2
238,40,3.9
427,2,3.1
15,48,4.1
473,39,2.5
483,15,2.6
314,35,2.8
223,43,2.5
93,8,2.6
327,36,2.3
364,6,3.4
181,36,2.8
362,31,2.4
266,42,3.9
417,27,3.2
484,13,4.2
47,45,3.3
50,38,3.9
460,12,3.9
470,15,3.9
62,20,4.0
278,2,2.9
230,15,3.8
10,21,3.8
201,38,3.6
257,14,2.6
226,33,2.8
313,40,3.6
5,40,3.1
165,1,5.0
119,29,3.7
261,10,3.4
139,29,2.1
221,15,2.3
45,35,3.6
452,25,4.3
491,48,3.8
50,17,3.1
155,5,3.7
29,10,1.7
469,27,3.0
289,36,4.6
265,3,2.8
500,39,2.9
296,37,2.3
390,5,3.2
37,41,3.1
411,37,3.2
299,15,2.6
94,39,3.3
310,42,2.5
64,14,3.5
13,21,3.2
43,48,3.2
80,25,2.7
73,30,3.7
384,37,1.2
194,43,3.0
495,12,2.4
37,14,4.0
199,25,4.1
495,13,4.8
327,13,3.6
225,44,4.2
265,33,5.0
311,22,4.7
236,35,2.5
334,4,2.2
440,42,4.0
467,26,3.2
15,44,4.8
211,19,3.1
4,25,2.5
165,12,2.9
321,2,4.5
171,48,3.5
291,45,2.6
62,25,4.9
494,25,4.1
361,34,2.5
422,18,4.0
263,2,4.3
165,35,2.4
93,31,3.7
255,19,4.1
91,27,3.5
