user_id,username,age_group,preferred_cat,total_purchases
1,user_0001,46-60,Beauty,23
2,user_0002,60+,Automotive,33
3,user_0003,18-25,Clothing,2
4,user_0004,60+,Home & Kitchen,26
5,user_0005,46-60,Toys,11
6,user_0006,36-45,Electronics,38
7,user_0007,60+,Home & Kitchen,34
8,user_0008,36-45,Toys,48
9,user_0009,18-25,Electronics,6
10,user_0010,60+,Clothing,20
11,user_0011,46-60,Clothing,36
12,user_0012,36-45,Books,3
13,user_0013,36-45,Home & Kitchen,32
14,user_0014,46-60,Electronics,33
15,user_0015,26-35,Automotive,1
16,user_0016,36-45,Home & Kitchen,25
17,user_0017,26-35,Toys,31
18,user_0018,26-35,Clothing,7
19,user_0019,46-60,Automotive,26
20,user_0020,18-25,Home & Kitchen,49
21,user_0021,26-35,Electronics,48
22,user_0022,46-60,Sports,37
23,user_0023,36-45,Toys,9
24,user_0024,18-25,Clothing,19
25,user_0025,36-45,Home & Kitchen,24
26,user_0026,18-25,Automotive,11
27,user_0027,18-25,Automotive,36
28,user_0028,46-60,Beauty,35
29,user_0029,18-25,Clothing,25
30,user_0030,60+,Books,46
31,user_0031,26-35,Books,35
32,user_0032,60+,Electronics,36
33,user_0033,18-25,Home & Kitchen,33
34,user_0034,60+,Automotive,20
35,user_0035,36-45,Electronics,33
36,user_0036,46-60,Clothing,22
37,user_0037,60+,Clothing,8
38,user_0038,36-45,Clothing,34
39,user_0039,60+,Beauty,33
40,user_0040,46-60,Toys,33
41,user_0041,60+,Home & Kitchen,48
42,user_0042,36-45,Home & Kitchen,35
43,user_0043,18-25,Automotive,17
44,user_0044,46-60,Home & Kitchen,30
45,user_0045,60+,Beauty,6
46,user_0046,36-45,Home & Kitchen,41
47,user_0047,60+,Automotive,29
48,user_0048,18-25,Beauty,31
49,user_0049,36-45,Home & Kitchen,33
50,user_0050,46-60,Toys,21
51,user_0051,18-25,Automotive,3
52,user_0052,26-35,Electronics,42
53,user_0053,26-35,Clothing,40
54,user_0054,26-35,Automotive,47
55,user_0055,26-35,Toys,27
56,user_0056,26-35,Books,26
57,user_0057,18-25,Automotive,33
58,user_0058,18-25,Clothing,48
59,user_0059,60+,Books,26
60,user_0060,36-45,Books,25
61,user_0061,60+,Home & Kitchen,7
62,user_0062,18-25,Home & Kitchen,45
63,user_0063,46-60,Electronics,8
64,user_0064,46-60,Clothing,23
65,user_0065,46-60,Books,2
66,user_0066,36-45,Electronics,22
67,user_0067,26-35,Books,22
68,user_0068,18-25,Home & Kitchen,42
69,user_0069,36-45,Home & Kitchen,37
70,user_0070,18-25,Automotive,44
71,user_0071,46-60,Sports,39
72,user_0072,46-60,Beauty,45
73,user_0073,46-60,Beauty,47
74,user_0074,36-45,Toys,40
75,user_0075,46-60,Automotive,13
76,user_0076,26-35,Home & Kitchen,42
77,user_0077,36-45,Electronics,19
78,user_0078,46-60,Books,26
79,user_0079,60+,Books,23
80,user_0080,18-25,Home & Kitchen,1
81,user_0081,26-35,Books,1
82,user_0082,26-35,Automotive,48
83,user_0083,18-25,Automotive,45
84,user_0084,60+,Electronics,16
85,user_0085,60+,Toys,5
86,user_0086,60+,Toys,3
87,user_0087,46-60,Books,16
88,user_0088,36-45,Sports,22
89,user_0089,18-25,Sports,14
90,user_0090,46-60,Sports,47
91,user_0091,18-25,Beauty,46
92,user_0092,46-60,Sports,12
93,user_0093,26-35,Books,48
94,user_0094,60+,Toys,36
95,user_0095,18-25,Beauty,30
96,user_0096,60+,Toys,10
97,user_0097,60+,Home & Kitchen,34
98,user_0098,46-60,Toys,10
99,user_0099,26-35,Clothing,32
100,user_0100,18-25,Automotive,5
101,user_0101,60+,Home & Kitchen,16
102,user_0102,26-35,Electronics,28
103,user_0103,36-45,Home & Kitchen,24
104,user_0104,46-60,Books,35
105,user_0105,46-60,Electronics,33
106,user_0106,60+,Clothing,43
107,user_0107,60+,Home & Kitchen,3
108,user_0108,18-25,Electronics,40
109,user_0109,26-35,Clothing,44
110,user_0110,60+,Sports,12
111,user_0111,26-35,Sports,35
112,user_0112,18-25,Books,8
113,user_0113,60+,Books,10
114,user_0114,26-35,Beauty,34
115,user_0115,36-45,Electronics,7
116,user_0116,46-60,Books,45
117,user_0117,36-45,Sports,36
118,user_0118,18-25,Sports,36
119,user_0119,26-35,Sports,9
120,user_0120,36-45,Electronics,35
121,user_0121,46-60,Books,49
122,user_0122,60+,Home & Kitchen,49
123,user_0123,60+,Toys,25
124,user_0124,36-45,Electronics,30
125,user_0125,18-25,Electronics,20
126,user_0126,18-25,Beauty,13
127,user_0127,36-45,Clothing,49
128,user_0128,46-60,Home & Kitchen,41
129,user_0129,36-45,Home & Kitchen,9
130,user_0130,46-60,Beauty,31
131,user_0131,46-60,Clothing,47
132,user_0132,60+,Sports,35
133,user_0133,46-60,Electronics,21
134,user_0134,46-60,Sports,23
135,user_0135,18-25,Toys,45
136,user_0136,60+,Books,39
137,user_0137,26-35,Sports,35
138,user_0138,60+,Clothing,11
139,user_0139,26-35,Toys,12
140,user_0140,18-25,Books,44
141,user_0141,18-25,Sports,38
142,user_0142,60+,Automotive,42
143,user_0143,18-25,Books,27
144,user_0144,26-35,Books,5
145,user_0145,60+,Sports,38
146,user_0146,36-45,Automotive,48
147,user_0147,60+,Electronics,22
148,user_0148,46-60,Electronics,7
149,user_0149,18-25,Sports,4
150,user_0150,46-60,Beauty,31
151,user_0151,36-45,Sports,44
152,user_0152,36-45,Books,26
153,user_0153,36-45,Toys,3
154,user_0154,60+,Sports,28
155,user_0155,26-35,Home & Kitchen,28
156,user_0156,60+,Toys,41
157,user_0157,18-25,Clothing,13
158,user_0158,46-60,Beauty,49
159,user_0159,18-25,Automotive,33
160,user_0160,60+,Beauty,44
161,user_0161,60+,Automotive,45
162,user_0162,60+,Toys,21
163,user_0163,60+,Clothing,37
164,user_0164,46-60,Clothing,19
165,user_0165,46-60,Electronics,18
166,user_0166,18-25,Electronics,14
167,user_0167,18-25,Sports,3
168,user_0168,18-25,Clothing,12
169,user_0169,26-35,Automotive,16
170,user_0170,46-60,Automotive,28
171,user_0171,60+,Automotive,28
172,user_0172,46-60,Books,8
173,user_0173,26-35,Home & Kitchen,28
174,user_0174,46-60,Sports,41
175,user_0175,46-60,Automotive,27
176,user_0176,18-25,Electronics,33
177,user_0177,60+,Home & Kitchen,13
178,user_0178,46-60,Automotive,29
179,user_0179,60+,Beauty,35
180,user_0180,60+,Beauty,18
181,user_0181,36-45,Automotive,5
182,user_0182,18-25,Books,10
183,user_0183,26-35,Clothing,45
184,user_0184,60+,Toys,33
185,user_0185,18-25,Books,32
186,user_0186,18-25,Clothing,21
187,user_0187,26-35,Toys,25
188,user_0188,36-45,Clothing,49
189,user_0189,60+,Electronics,34
190,user_0190,18-25,Clothing,1
191,user_0191,60+,Automotive,6
192,user_0192,46-60,Electronics,5
193,user_0193,60+,Beauty,3
194,user_0194,60+,Toys,37
195,user_0195,60+,Sports,10
196,user_0196,26-35,Clothing,17
197,user_0197,60+,Beauty,9
198,user_0198,18-25,Clothing,45
199,user_0199,60+,Home & Kitchen,1
200,user_0200,18-25,Automotive,32
201,user_0201,26-35,Home & Kitchen,31
202,user_0202,26-35,Books,34
203,user_0203,36-45,Clothing,12
204,user_0204,18-25,Beauty,44
205,user_0205,60+,Beauty,30
206,user_0206,36-45,Electronics,17
207,user_0207,60+,Sports,14
208,user_0208,26-35,Clothing,39
