product_id,name,category,brand,price,avg_rating,num_reviews,tags,stock
P0001,TechPro Electronics Item 1,Electronics,TechPro,605.73,4.5,508,electronics|techpro|premium|popular,45
P0002,KidZone Beauty Item 2,Beauty,KidZone,93.26,3.0,272,beauty|kidzone|sale|imported,37
P0003,BeautyGlow Electronics Item 3,Electronics,BeautyGlow,1109.28,3.9,590,electronics|beautyglow|popular|sale,141
P0004,SportEdge Home Item 4,Home,SportEdge,309.49,4.3,12,home|sportedge|local|premium,99
P0005,BeautyGlow Home Item 5,Home,BeautyGlow,984.01,4.0,924,home|beautyglow|popular|premium,327
P0006,SportEdge Books Item 6,Books,SportEdge,65.53,3.0,512,books|sportedge|trending|new,189
P0007,TechPro Toys Item 7,Toys,TechPro,84.05,3.4,480,toys|techpro|local|trending,34
P0008,KidZone Home Item 8,Home,KidZone,671.18,4.5,301,home|kidzone|premium|eco,146
P0009,FitLife Books Item 9,Books,FitLife,46.6,3.9,168,books|fitlife|imported|trending,29
P0010,TechPro Sports Item 10,Sports,TechPro,466.9,2.5,489,sports|techpro|new|sale,333
P0011,BeautyGlow Electronics Item 11,Electronics,BeautyGlow,251.99,4.4,601,electronics|beautyglow|local|trending,83
P0012,FitLife Food Item 12,Food,FitLife,44.15,2.6,76,food|fitlife|new|local,368
P0013,SportEdge Sports Item 13,Sports,SportEdge,143.27,4.4,571,sports|sportedge|local|trending,280
P0014,FitLife Home Item 14,Home,FitLife,890.82,3.0,909,home|fitlife|new|popular,423
P0015,SportEdge Sports Item 15,Sports,SportEdge,375.07,4.9,563,sports|sportedge|eco|local,343
P0016,TechPro Sports Item 16,Sports,TechPro,90.39,3.4,915,sports|techpro|local|imported,269
P0017,BeautyGlow Toys Item 17,Toys,BeautyGlow,49.45,3.3,948,toys|beautyglow|local|eco,153
P0018,HomeEase Toys Item 18,Toys,HomeEase,39.49,2.9,242,toys|homeease|trending|imported,101
P0019,BeautyGlow Toys Item 19,Toys,BeautyGlow,58.0,3.3,108,toys|beautyglow|trending|popular,214
P0020,SportEdge Sports Item 20,Sports,SportEdge,348.44,4.7,214,sports|sportedge|local|trending,149
P0021,StyleMax Home Item 21,Home,StyleMax,854.38,5.0,558,home|stylemax|new|trending,431
P0022,KidZone Food Item 22,Food,KidZone,26.26,3.4,832,food|kidzone|premium|imported,82
P0023,NutriPure Beauty Item 23,Beauty,NutriPure,57.71,3.6,472,beauty|nutripure|local|premium,109
P0024,HomeEase Sports Item 24,Sports,HomeEase,455.46,4.3,458,sports|homeease|popular|local,434
P0025,FitLife Books Item 25,Books,FitLife,8.81,4.7,272,books|fitlife|imported|sale,386
P0026,HomeEase Home Item 26,Home,HomeEase,637.94,4.0,390,home|homeease|new|trending,425
P0027,KidZone Sports Item 27,Sports,KidZone,417.23,3.5,779,sports|kidzone|new|imported,274
P0028,FitLife Food Item 28,Food,FitLife,4.12,3.5,852,food|fitlife|local|sale,200
P0029,KidZone Beauty Item 29,Beauty,KidZone,73.38,4.2,391,beauty|kidzone|imported|sale,283
P0030,FitLife Toys Item 30,Toys,FitLife,28.31,2.5,881,toys|fitlife|new|popular,467
P0031,HomeEase Home Item 31,Home,HomeEase,980.0,4.0,263,home|homeease|local|popular,172
P0032,FitLife Clothing Item 32,Clothing,FitLife,65.24,3.4,287,clothing|fitlife|trending|imported,326
P0033,FitLife Beauty Item 33,Beauty,FitLife,93.95,4.5,630,beauty|fitlife|premium|popular,205
P0034,StyleMax Books Item 34,Books,StyleMax,57.93,2.7,879,books|stylemax|local|popular,62
P0035,BeautyGlow Sports Item 35,Sports,BeautyGlow,287.04,4.0,44,sports|beautyglow|local|popular,72
P0036,BeautyGlow Food Item 36,Food,BeautyGlow,7.37,3.7,490,food|beautyglow|sale|trending,250
P0037,NutriPure Clothing Item 37,Clothing,NutriPure,284.61,4.1,933,clothing|nutripure|new|premium,123
P0038,NutriPure Food Item 38,Food,NutriPure,35.17,2.7,224,food|nutripure|new|popular,374
P0039,SportEdge Clothing Item 39,Clothing,SportEdge,61.74,3.9,133,clothing|sportedge|trending|premium,120
P0040,SportEdge Home Item 40,Home,SportEdge,45.67,3.9,524,home|sportedge|sale|local,274
P0041,SportEdge Clothing Item 41,Clothing,SportEdge,123.38,3.9,617,clothing|sportedge|new|local,430
P0042,StyleMax Books Item 42,Books,StyleMax,46.44,4.0,932,books|stylemax|new|sale,499
P0043,NutriPure Books Item 43,Books,NutriPure,37.23,4.2,896,books|nutripure|trending|local,397
P0044,KidZone Electronics Item 44,Electronics,KidZone,131.57,4.5,692,electronics|kidzone|new|eco,119
P0045,SportEdge Books Item 45,Books,SportEdge,32.35,3.2,623,books|sportedge|popular|sale,421
P0046,SportEdge Beauty Item 46,Beauty,SportEdge,187.29,4.6,617,beauty|sportedge|popular|trending,436
P0047,HomeEase Clothing Item 47,Clothing,HomeEase,292.21,3.7,264,clothing|homeease|sale|eco,316
P0048,TechPro Books Item 48,Books,TechPro,7.99,2.7,994,books|techpro|trending|imported,163
P0049,KidZone Home Item 49,Home,KidZone,364.23,2.6,970,home|kidzone|eco|local,423
P0050,SportEdge Food Item 50,Food,SportEdge,34.74,3.3,370,food|sportedge|premium|sale,464
P0051,SportEdge Toys Item 51,Toys,SportEdge,103.37,4.5,762,toys|sportedge|sale|local,285
P0052,SportEdge Food Item 52,Food,SportEdge,18.98,4.3,791,food|sportedge|popular|imported,264
P0053,TechPro Electronics Item 53,Electronics,TechPro,1141.77,4.5,548,electronics|techpro|sale|eco,319
P0054,TechPro Food Item 54,Food,TechPro,43.99,3.8,653,food|techpro|new|popular,160
