user_id,product_id,quantity,total_price,purchase_date
U0369,P0003,2,2218.56,2025-09-18
U0180,P0029,2,146.76,2025-06-28
U0083,P0119,4,7220.36,2025-04-14
U0106,P0110,3,565.95,2025-11-25
U0041,P0081,5,1675.6,2025-10-28
U0470,P0135,5,1980.45,2025-06-12
U0431,P0146,3,164.37,2025-05-16
U0202,P0090,3,169.08,2025-08-26
U0337,P0112,2,410.12,2025-10-24
U0498,P0085,3,117.36,2025-10-27
U0382,P0057,3,837.63,2025-03-27
U0132,P0019,3,174.0,2025-05-16
U0063,P0102,5,622.45,2025-05-21
U0302,P0063,5,351.1,2025-11-21
U0427,P0181,3,972.36,2025-11-04
U0297,P0116,3,291.72,2025-11-30
U0295,P0070,4,368.84,2025-11-10
U0009,P0135,5,1980.45,2025-12-28
U0075,P0058,1,244.37,2025-05-26
U0169,P0129,4,729.16,2026-01-19
U0310,P0186,4,278.96,2025-12-04
U0295,P0172,5,537.15,2025-05-01
U0395,P0134,5,2299.3,2025-11-07
U0052,P0064,2,92.76,2026-01-31
U0496,P0003,5,5546.4,2025-08-09
U0067,P0016,2,180.78,2026-01-26
U0441,P0123,1,57.29,2025-07-23
U0168,P0078,5,4111.65,2025-09-28
U0099,P0074,4,1903.92,2025-09-17
U0173,P0121,5,3351.1,2026-01-17
U0440,P0200,2,257.46,2026-03-06
U0126,P0003,1,1109.28,2025-10-22
U0143,P0146,4,219.16,2025-10-21
U0196,P0017,2,98.9,2025-05-17
U0115,P0146,1,54.79,2026-03-11
U0073,P0189,3,96.84,2026-01-30
U0070,P0200,1,128.73,2025-12-11
U0376,P0119,3,5415.27,2025-09-05
U0443,P0092,5,1327.85,2025-03-29
U0305,P0101,2,394.0,2025-10-07
U0299,P0087,4,1048.24,2026-03-24
U0285,P0111,1,37.38,2025-06-05
U0313,P0056,1,1511.48,2025-11-12
U0362,P0093,5,72.7,2025-10-24
U0097,P0067,3,1019.7,2025-09-03
U0199,P0057,1,279.21,2026-02-16
U0115,P0139,5,1713.4,2025-09-17
U0025,P0053,3,3425.31,2025-12-22
U0098,P0105,2,16.66,2025-04-16
U0380,P0035,1,287.04,2025-11-18
U0100,P0080,4,492.48,2025-10-27
U0094,P0068,4,5933.44,2025-12-09
U0336,P0028,1,4.12,2025-10-22
U0119,P0170,4,85.64,2025-06-02
U0213,P0130,4,358.68,2025-06-22
U0426,P0008,1,671.18,2025-06-16
U0406,P0167,3,5183.58,2025-03-27
U0363,P0037,5,1423.05,2025-11-02
U0196,P0193,5,2111.65,2026-02-28
U0079,P0168,1,1776.66,2025-04-28
U0340,P0125,4,799.68,2025-10-30
U0033,P0120,3,1536.15,2025-12-19
U0020,P0078,2,1644.66,2025-10-13
U0030,P0040,2,91.34,2025-06-24
U0407,P0094,1,182.57,2026-01-01
U0083,P0144,5,675.9,2025-11-02
U0217,P0101,3,591.0,2025-12-23
U0230,P0193,3,1266.99,2026-01-03
U0102,P0052,2,37.96,2025-07-02
U0079,P0160,2,96.36,2026-03-21
U0070,P0005,2,1968.02,2025-10-07
U0206,P0147,1,315.34,2025-12-05
U0105,P0003,2,2218.56,2026-03-14
U0113,P0051,3,310.11,2025-08-28
U0240,P0113,1,37.35,2025-04-05
U0063,P0172,4,429.72,2025-08-04
U0187,P0003,4,4437.12,2025-08-19
U0073,P0199,4,439.6,2025-05-17
U0313,P0089,3,510.9,2025-11-18
U0461,P0192,1,1515.96,2025-12-27
U0143,P0165,3,4172.58,2025-12-08
U0029,P0021,2,1708.76,2025-11-27
U0377,P0149,5,2383.6,2025-11-13
U0418,P0125,2,399.84,2025-11-25
