user_id,age,gender,location,segment,join_date
U0001,56,F,Dubai,budget,2024-05-11
U0002,46,F,Tunis,mid,2025-11-02
U0003,32,Other,Riyadh,budget,2026-01-30
U0004,60,M,Amman,premium,2024-01-27
U0005,25,Other,Dubai,premium,2025-05-19
U0006,38,Other,Tunis,premium,2025-06-19
U0007,56,M,Tunis,mid,2025-07-11
U0008,36,M,Cairo,budget,2025-10-05
U0009,40,M,Riyadh,mid,2024-02-01
U0010,28,M,Amman,budget,2025-11-12
U0011,28,M,Beirut,budget,2024-04-03
U0012,41,F,Cairo,budget,2024-01-28
U0013,53,M,Dubai,mid,2023-08-26
U0014,57,M,Dubai,mid,2024-08-15
U0015,41,F,Cairo,mid,2025-11-27
U0016,20,M,Tunis,mid,2024-06-30
U0017,39,F,Dubai,budget,2024-12-19
U0018,19,M,Riyadh,premium,2026-01-23
U0019,41,M,Amman,mid,2026-01-25
U0020,61,F,Riyadh,mid,2025-11-21
U0021,47,F,Dubai,budget,2025-07-16
U0022,55,F,Beirut,mid,2025-07-01
U0023,19,F,Amman,mid,2024-09-25
U0024,38,F,Amman,budget,2024-06-18
U0025,50,M,Cairo,budget,2026-01-28
U0026,29,M,Cairo,mid,2024-07-30
U0027,39,F,Beirut,mid,2025-08-05
U0028,61,F,Tunis,budget,2024-02-22
U0029,42,Other,Amman,premium,2024-04-30
U0030,44,M,Beirut,budget,2024-03-08
U0031,59,M,Cairo,mid,2024-08-15
U0032,45,F,Cairo,premium,2024-12-22
U0033,33,M,Amman,mid,2025-07-14
U0034,32,Other,Riyadh,mid,2024-11-22
U0035,64,F,Dubai,budget,2024-07-01
U0036,61,M,Cairo,budget,2025-05-16
U0037,20,F,Tunis,premium,2023-11-19
U0038,54,F,Tunis,mid,2023-09-18
U0039,24,M,Cairo,premium,2026-02-18
U0040,38,Other,Riyadh,budget,2024-01-09
U0041,26,F,Riyadh,budget,2023-11-22
U0042,56,F,Beirut,budget,2025-09-14
U0043,35,M,Tunis,mid,2024-03-12
U0044,21,F,Beirut,budget,2024-12-19
U0045,42,M,Tunis,premium,2025-03-13
U0046,31,M,Dubai,mid,2025-05-16
U0047,26,Other,Dubai,premium,2025-09-18
U0048,43,M,Amman,budget,2025-07-19
U0049,19,M,Beirut,premium,2024-01-05
U0050,37,Other,Cairo,mid,2025-03-17
U0051,45,Other,Beirut,mid,2025-11-12
U0052,64,F,Cairo,premium,2025-11-22
U0053,24,F,Riyadh,mid,2025-01-31
U0054,61,M,Beirut,mid,2025-11-17
U0055,25,M,Riyadh,budget,2025-02-22
U0056,64,M,Dubai,budget,2023-10-11
U0057,52,F,Dubai,premium,2025-03-09
U0058,31,F,Amman,mid,2024-06-16
U0059,34,F,Beirut,mid,2025-05-30
U0060,53,F,Riyadh,mid,2023-11-21
U0061,57,M,Cairo,budget,2026-01-11
U0062,21,F,Dubai,budget,2024-02-08
U0063,19,M,Dubai,mid,2024-11-11
U0064,23,F,Cairo,mid,2024-08-24
U0065,59,M,Riyadh,budget,2025-10-20
U0066,21,F,Riyadh,mid,2023-07-26
U0067,46,M,Beirut,budget,2025-02-02
U0068,35,M,Beirut,mid,2025-12-06
U0069,43,M,Tunis,budget,2024-08-08
U0070,61,F,Tunis,mid,2025-04-30
U0071,51,F,Amman,budget,2023-10-29
U0072,27,M,Dubai,mid,2024-05-22
U0073,53,M,Beirut,budget,2024-06-01
U0074,31,F,Riyadh,budget,2023-09-02
U0075,48,M,Cairo,budget,2023-09-26
U0076,32,F,Riyadh,mid,2025-02-19
U0077,25,F,Dubai,mid,2024-07-13
U0078,31,M,Tunis,budget,2025-08-12
